zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon
63739,20812,49.976331207974,9.1735790528756,rural,0,,
63741,26510,49.993875398766,9.1215185689505,rural,125960,49.964177089942,9.1001405670765
63743,23896,49.948550159207,9.1617141113454,rural,141274,49.965251005188,9.179357528033
63755,19743,50.07947207108,9.0743329179418,urban,92833,50.091442855236,9.0536492165083
63762,17246,49.916476760351,9.065730161223,rural,111945,49.943254010191,9.0637751089311
63768,14038,50.014712459247,9.2154435313815,rural,126675,50.0063737931,9.2254620121113
63773,10415,50.007554444667,9.1736910916441,rural,137579,49.991643046791,9.1834509935114
63776,12616,50.066720953538,9.1515227232879,rural,112645,50.058741449407,9.1601028902485
63785,9075,49.828173271246,9.1137608144835,rural,0,,
63791,8482,50.053919526683,9.0137867118169,urban,90170,50.051878311641,9.0014149496999
63796,7931,50.08627677641,9.0111133493658,urban,88402,50.077534119358,9.0111599438673
63801,8604,50.015829147402,9.0566141305216,urban,108639,50.01600217937,9.048053971586
63808,8919,49.962985040347,9.2099988206531,rural,136407,49.958167960653,9.1992207123875
63811,7941,49.972211375061,9.0512526525495,urban,0,,
63814,8991,49.983948858891,9.0914259209119,urban,132141,49.980369897903,9.1040867467224
63820,9497,49.83031698196,9.1929136985975,rural,0,,
63825,9164,50.078422092123,9.2589524923894,rural,94730,50.097696152062,9.2470273406483
63826,2251,50.126092463691,9.2032752396088,rural,84033,50.126484339007,9.1919144576402
63828,1941,50.108324584218,9.2862606383404,rural,92395,50.100217775363,9.2833554005067
63829,2331,50.083452943835,9.2052203884755,rural,99693,50.085677985886,9.2134987864527
63831,1120,50.107369742954,9.3555446720858,rural,86782,50.106254476834,9.3610291724624
63834,7325,49.911454835818,9.1719234896611,rural,0,,
63839,6064,49.871867628397,9.1830298862459,rural,0,,
63840,1991,49.874877437982,9.2220432123369,rural,0,,
63843,5198,49.907340943312,9.124373454046,rural,0,,
63846,5513,50.011745284608,9.3155858697792,rural,115403,50.009276425957,9.2744327430705
63849,5162,49.893583779524,9.2481967632004,rural,0,,
63853,5183,49.860005305364,9.0741138577369,rural,0,,
63856,6178,49.954893234765,9.2570165699945,rural,123449,49.969065093164,9.2540422599608
63857,4179,49.959133666229,9.3254669650747,rural,114607,49.969531164032,9.3032949750995
63860,1801,49.964117344277,9.3973590613143,rural,104656,49.962130040966,9.4080489725274
63863,4056,49.838025272496,9.2785568293226,rural,0,,
63864,3542,50.010951842209,9.1428898204871,rural,133471,50.010428833251,9.1438354710983
63867,4077,50.023879139946,9.1226523434091,rural,124459,50.025277432289,9.1328004498298
63868,4342,49.874039324918,9.140569042042,rural,0,,
63869,2334,50.027205704052,9.3725623876078,rural,100869,50.035978602235,9.3671815108315
63871,911,50.068572107206,9.3335446474156,rural,97171,50.063773769239,9.340871011148
63872,2298,49.890314150679,9.3033718460915,rural,112852,49.886792682283,9.2776609333801
63874,1923,49.859232211035,9.3434222874262,rural,107222,49.860257667967,9.3068112621683
63875,2334,49.918123564357,9.299987720052,rural,114805,49.919202701012,9.2902401364333
63877,3764,50.03796782422,9.2700688563469,rural,110902,50.034041583897,9.2769220565964
63879,2083,49.902299072933,9.4004409204272,rural,107949,49.927759744518,9.3555194024872
63897,9626,49.689990861525,9.2448886302982,rural,0,,
63906,10481,49.809192919139,9.1659815629954,rural,106962,49.823201924549,9.1535788521859
63911,6474,49.768832110088,9.1891023600941,rural,0,,
63916,4231,49.644092828369,9.1783360010654,rural,0,,
63920,5375,49.734932187456,9.2368114209884,rural,0,,
63924,4649,49.716217941097,9.1695399367653,rural,0,,
63925,1501,49.738414836239,9.1650127645334,rural,0,,
63927,4573,49.722745988383,9.2867155990888,rural,91305,49.730251742412,9.2761746624948
63928,2752,49.660201735462,9.3855335636238,rural,76176,49.651232657733,9.402893618799
63930,1641,49.697302634112,9.3983164026184,rural,0,,
63931,2443,49.608143746697,9.1363639335908,rural,0,,
63933,2704,49.792594460229,9.279320493642,rural,0,,
63934,1823,49.766135169617,9.2587325071722,rural,0,,
63936,1901,49.62286237732,9.2560220459766,rural,0,,
63937,2439,49.683963741601,9.1326161480059,rural,0,,
63939,5022,49.786751433152,9.1478660983426,rural,0,,
80331,5012,48.135280832843,11.570963887587,urban,0,,
80333,11913,48.144894102589,11.568562388594,urban,0,,
80335,9559,48.143585430285,11.554162369541,urban,0,,
80336,8576,48.132925450156,11.553000240056,urban,0,,
80337,16144,48.125936736766,11.558335121744,urban,0,,
80339,27996,48.135471183815,11.539118858142,urban,0,,
80469,25330,48.128199253719,11.571135648797,urban,0,,
80538,11638,48.144857174859,11.590921255412,urban,0,,
80539,3389,48.145098402938,11.581730626284,urban,0,,
80634,19662,48.147926676061,11.531130543377,urban,0,,
80636,23999,48.151578902589,11.542147759698,urban,0,,
80637,21614,48.162273800885,11.537179425961,urban,0,,
80638,10137,48.159986754756,11.49588990996,urban,0,,
80639,20527,48.151363793948,11.513460914512,urban,705646,48.15365432073,11.514540751815
80686,21053,48.130141629796,11.51078922451,urban,734304,48.132044586378,11.526446008405
80687,22810,48.142199450393,11.505672900182,urban,0,,
80689,29682,48.132110549455,11.48377901745,urban,0,,
80796,16306,48.163222972895,11.570180378985,urban,0,,
80797,18147,48.162674331902,11.557463307055,urban,0,,
80798,13476,48.155470918019,11.565875478759,urban,0,,
