zipcode,centroid_lat,centroid_lon,regional spatial type,population,capacity,rc_centroid_lat,rc_centroid_lon
0,54.29005606213463,10.647208846107766,rural,8857,0,54.29518306145861,10.64418407769075
1,50.998167380555735,14.86380861469874,rural,2510,0,50.994201657527626,14.8607899551896
2,50.77731425371574,6.822911801220147,rural,7319,0,50.76232233510532,6.826002195524924
3,53.02191285545304,9.463830686999575,rural,902,0,53.03346763656099,9.459170704658495
4,50.62369413412323,8.20512725978273,urban,343,118939,50.610061245130645,8.209063221088519
5,48.97659262443175,9.06511232877903,rural,18326,135159,48.97098600831941,9.0604057176427
6,48.898052668309234,8.94821683245303,urban,9834,0,48.89737455784801,8.942749899616434
7,49.06512067859306,8.750230948732003,rural,3257,123134,49.055605312181854,8.756015132253767
8,51.87669275580793,8.118055051265687,rural,14488,0,51.88401953776378,8.113396857700774
9,47.83448333774332,6.752841562272515,urban,13687,0,47.825675240722624,6.765019213617701
10,50.02693590734136,10.73597574446238,urban,17685,0,50.02128861621909,10.740252326135732
11,47.95200933171079,7.080261401759199,urban,5639,99711,47.95635862132531,7.060942778307912
12,50.32323159950033,13.920740737549462,urban,13213,0,50.33619208286294,13.913020138133216
13,49.53501274899059,13.961267620538171,urban,2390,0,49.54488509746286,13.960529021197235
14,51.31310574954382,7.189981580280577,rural,2246,0,51.28971478065114,7.1902943109950845
15,50.82662026362757,11.852479839568318,rural,7074,0,50.84557476804427,11.861196088055204
16,50.99062736371569,11.344730957743089,urban,3020,0,50.98809599458018,11.34656149919153
17,52.53042383665245,10.67090659096692,urban,1347,121738,52.54140177948328,10.67617524607074
18,49.81450397051275,11.58965098733945,rural,8007,115449,49.81674327536307,11.589007978044492
19,53.660021153385685,11.865910655870149,rural,3481,0,53.65913586494606,11.87590978213656
20,50.35352408112743,10.543147771592318,urban,0,0,50.358565723953085,10.559929591257418
21,50.490666085165394,13.671137576032834,urban,16292,118732,50.487079274834194,13.674664229365614
22,54.00281871600517,6.634053762060326,rural,19794,0,53.99192312333635,6.6308182859690765
23,51.78813079373032,12.933900669661362,urban,2395,0,51.77400431443444,12.938315978474805
24,52.08922730597662,14.182771557111758,rural,13982,113385,52.08043774540452,14.177393178314118
25,47.79441484804987,12.234101982693096,rural,4878,0,47.79675510875875,12.215226300644735
26,50.43626795651959,5.943920236200418,rural,7935,76512,50.42966680277373,5.93500493220448
27,54.719172314771,12.631421143972847,rural,12627,0,54.727111309999664,12.620948689420246
28,48.11287177622702,10.64315832331947,rural,216,0,48.11250903419377,10.638262691135765
29,48.796664275805696,12.3313768750236,rural,13756,0,48.79640919424858,12.323016589859192
30,52.613006043806735,10.538167569920276,urban,4489,127238,52.60130962362171,10.5336842917707
31,52.53836564521888,6.972359629866519,urban,6256,0,52.54354921617889,6.971811731124669
32,53.4042662670213,14.751999765183836,rural,19254,0,53.40057247762276,14.73195568687879
33,54.8916267258857,10.616725808763888,urban,6766,0,54.8937280381098,10.622277671818685
34,50.35452002930518,8.389469271814821,rural,6595,123584,50.3649041628729,8.393178988956118
35,52.52777567454084,12.561543031341818,rural,13779,120385,52.51269754685813,12.572233141882364
36,49.1853887645398,14.139765160863211,urban,17995,102563,49.1957466711794,14.13906059017016
37,51.97763484005816,11.812694819869009,urban,2738,0,51.97799669856405,11.833671564090537
38,48.53024236018306,10.464846044411775,urban,8975,113200,48.52508333004027,10.468631374040925
39,48.12556952384411,14.254737981614747,urban,18885,88872,48.108483494488986,14.249133199628345
40,54.04970459123339,7.329821673593024,rural,11392,0,54.054744579888826,7.33007310335499
41,54.843562915690086,6.624848288212099,urban,588,73562,54.833907581889925,6.626904178282714
42,54.21649165772613,8.698864912417346,rural,702,0,54.22350054120596,8.712520556554995
43,51.723628770962925,7.443966238790554,rural,3011,104277,51.71158142479303,7.446089227916547
44,49.29111905690162,5.886706249360933,rural,10905,70968,49.29325986516594,5.890244908650007
45,50.75721813338771,11.646644584604712,urban,19581,132964,50.761262627667634,11.6560523930226
46,50.59703226689532,12.942109592825371,rural,17918,0,50.59716985757917,12.941874369704356
47,53.268765010022136,10.70746064444246,rural,6663,129378,53.269664758383854,10.695983379214544
48,53.87081635910963,14.851253404118768,rural,437,81921,53.86639192492239,14.869658290111138
49,53.19957859025623,14.661407746226033,urban,8796,0,53.20371173804288,14.647317944348035
50,51.86489333432825,6.54232311761084,rural,6365,0,51.85523229185627,6.536167915225254
51,51.86625118928737,13.42349516622686,urban,17726,120613,51.8545225409695,13.42367284748261
52,51.41654181054104,12.239635074260011,urban,16979,141608,51.4163617688386,12.24387497917647
53,49.54005409042413,14.070100970971769,rural,6566,98029,49.53942262785575,14.06485370540057
54,47.76169263441279,8.307194205002709,rural,8836,82252,47.76117790962503,8.320405622911048
55,53.68850459670863,13.669240639001572,rural,4373,0,53.692960391177465,13.68066484026847
56,51.19063119997261,12.756633759703504,rural,7778,0,51.184409030743815,12.7610116981679
57,51.8545277331213,6.73391187994251,rural,7421,120548,51.861520653925936,6.7293825837753305
58,51.64872854060316,6.477036739214795,rural,14446,106424,51.65570299369151,6.464460500152262
59,48.60156343804377,6.793822447111836,urban,18605,103200,48.59292939465002,6.812645418690172
60,51.22725045740735,12.067741721859065,urban,17503,122592,51.23214530255328,12.056648373521936
61,54.70240659358856,12.03267307362188,urban,2728,115306,54.71318730999366,12.037890734013631
62,52.89228182830655,11.177913383147924,rural,14181,0,52.889338666799496,11.193663755687714
63,50.79693308294207,11.134625033369364,urban,9832,0,50.79569998279308,11.130778406129291
64,49.352646977990034,6.824915490343141,urban,2346,97344,49.3423234604415,6.82718255851416
65,53.51157629597448,10.50488922486072,rural,16682,0,53.49937543226374,10.50018264576271
66,54.8248172152684,13.475340880578164,rural,17459,104786,54.84562496994147,13.483868523438517
67,52.29900137436108,10.22577388608801,urban,4351,0,52.3173567049802,10.22804750826121
68,47.351154002704725,13.356060991330612,urban,3266,52233,47.34590345145804,13.347417150889768
69,54.36924008439798,9.121419580196193,urban,17857,0,54.36842471661264,9.133555440834456
70,53.73474372824184,9.296912906547856,rural,8473,110023,53.73185516629128,9.3042049602175
